"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Innovation on a Network_modified model Virus on a Network.nlogo"
"average-node-degree 1 1 49"
"03/08/2024 15:05:07:887 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-nodes","average-node-degree","initial-outbreak-size","gain-resistance-chance","virus-check-frequency","virus-spread-chance","recovery-chance","[step]","count turtles with [infected?]","count links"
"2","50","1","4","20","10","5","5","800","0","0"
"4","50","1","4","20","10","5","5","953","0","0"
"5","50","1","4","20","10","5","5","1696","0","0"
"6","50","1","4","20","10","5","5","788","0","0"
"7","50","1","4","20","10","5","5","687","0","0"
"3","50","1","4","20","10","5","5","2324","0","0"
"1","50","1","4","20","10","5","5","2244","0","0"
"9","50","1","4","20","10","5","5","1005","0","0"
"12","50","1","4","20","10","5","5","616","0","0"
"10","50","1","4","20","10","5","5","635","0","0"
"14","50","1","4","20","10","5","5","622","0","0"
"8","50","1","4","20","10","5","5","1785","0","0"
"13","50","1","4","20","10","5","5","1089","0","0"
"16","50","1","4","20","10","5","5","417","0","0"
"15","50","1","4","20","10","5","5","2089","0","0"
"18","50","1","4","20","10","5","5","1647","0","0"
"17","50","1","4","20","10","5","5","1612","0","0"
"21","50","1","4","20","10","5","5","1671","0","0"
"19","50","1","4","20","10","5","5","2148","0","0"
"23","50","1","4","20","10","5","5","437","0","0"
"11","50","1","4","20","10","5","5","2455","0","0"
"22","50","1","4","20","10","5","5","1371","0","0"
"24","50","1","4","20","10","5","5","714","0","0"
"20","50","1","4","20","10","5","5","3000","2","1"
"25","50","1","4","20","10","5","5","323","0","0"
"26","50","1","4","20","10","5","5","797","0","0"
"30","50","1","4","20","10","5","5","575","0","0"
"31","50","1","4","20","10","5","5","224","0","0"
"28","50","1","4","20","10","5","5","1545","0","0"
"32","50","1","4","20","10","5","5","401","0","0"
"27","50","1","4","20","10","5","5","2030","0","0"
"29","50","1","4","20","10","5","5","1680","0","0"
"33","50","1","4","20","10","5","5","806","0","0"
"35","50","1","4","20","10","5","5","565","0","0"
"34","50","1","4","20","10","5","5","976","0","0"
"38","50","1","4","20","10","5","5","69","0","0"
"37","50","1","4","20","10","5","5","1086","0","0"
"40","50","1","4","20","10","5","5","905","0","0"
"41","50","1","4","20","10","5","5","375","0","0"
"42","50","1","4","20","10","5","5","422","0","0"
"43","50","1","4","20","10","5","5","1103","0","0"
"36","50","1","4","20","10","5","5","1735","0","0"
"44","50","1","4","20","10","5","5","1055","0","0"
"39","50","1","4","20","10","5","5","3000","1","0"
"48","50","1","4","20","10","5","5","636","0","0"
"47","50","1","4","20","10","5","5","1117","0","0"
"45","50","1","4","20","10","5","5","1875","0","0"
"46","50","1","4","20","10","5","5","1170","0","0"
"50","50","1","4","20","10","5","5","1005","0","0"
"51","50","2","4","20","10","5","5","1392","0","0"
"49","50","1","4","20","10","5","5","1917","0","0"
"52","50","2","4","20","10","5","5","1987","0","0"
"53","50","2","4","20","10","5","5","1667","0","0"
"55","50","2","4","20","10","5","5","1408","0","0"
"54","50","2","4","20","10","5","5","1359","0","0"
"58","50","2","4","20","10","5","5","809","0","0"
"57","50","2","4","20","10","5","5","1417","0","0"
"56","50","2","4","20","10","5","5","2500","0","0"
"59","50","2","4","20","10","5","5","1321","0","0"
"60","50","2","4","20","10","5","5","1703","0","0"
"61","50","2","4","20","10","5","5","2363","0","0"
"62","50","2","4","20","10","5","5","1377","0","0"
"63","50","2","4","20","10","5","5","1574","0","0"
"67","50","2","4","20","10","5","5","1485","0","0"
"64","50","2","4","20","10","5","5","2926","0","0"
"65","50","2","4","20","10","5","5","3000","1","0"
"69","50","2","4","20","10","5","5","984","0","0"
"68","50","2","4","20","10","5","5","1784","0","0"
"70","50","2","4","20","10","5","5","1297","0","0"
"72","50","2","4","20","10","5","5","1688","0","0"
"66","50","2","4","20","10","5","5","2605","0","0"
"71","50","2","4","20","10","5","5","2467","0","0"
"73","50","2","4","20","10","5","5","1670","0","0"
"76","50","2","4","20","10","5","5","1182","0","0"
"75","50","2","4","20","10","5","5","1773","0","0"
"77","50","2","4","20","10","5","5","1396","0","0"
"74","50","2","4","20","10","5","5","2669","0","0"
"79","50","2","4","20","10","5","5","1435","0","0"
"80","50","2","4","20","10","5","5","1050","0","0"
"78","50","2","4","20","10","5","5","1262","0","0"
"83","50","2","4","20","10","5","5","1428","0","0"
"81","50","2","4","20","10","5","5","1996","0","0"
"82","50","2","4","20","10","5","5","1719","0","0"
"84","50","2","4","20","10","5","5","3000","3","2"
"85","50","2","4","20","10","5","5","1477","0","0"
"86","50","2","4","20","10","5","5","2336","0","0"
"88","50","2","4","20","10","5","5","1926","0","0"
"89","50","2","4","20","10","5","5","1893","0","0"
"87","50","2","4","20","10","5","5","1557","0","0"
"91","50","2","4","20","10","5","5","172","38","37"
"90","50","2","4","20","10","5","5","1568","0","0"
"92","50","2","4","20","10","5","5","1685","0","0"
"94","50","2","4","20","10","5","5","1769","0","0"
"93","50","2","4","20","10","5","5","1865","0","0"
"95","50","2","4","20","10","5","5","1482","0","0"
"97","50","2","4","20","10","5","5","1428","0","0"
"99","50","2","4","20","10","5","5","1828","0","0"
"96","50","2","4","20","10","5","5","2237","0","0"
"102","50","3","4","20","10","5","5","136","38","49"
"103","50","3","4","20","10","5","5","61","38","59"
"100","50","2","4","20","10","5","5","2070","0","0"
"105","50","3","4","20","10","5","5","94","38","57"
"106","50","3","4","20","10","5","5","107","38","57"
"101","50","3","4","20","10","5","5","1870","0","0"
"108","50","3","4","20","10","5","5","70","38","52"
"98","50","2","4","20","10","5","5","2654","0","0"
"104","50","3","4","20","10","5","5","1741","0","0"
"107","50","3","4","20","10","5","5","91","38","51"
"111","50","3","4","20","10","5","5","1912","0","0"
"113","50","3","4","20","10","5","5","39","38","58"
"109","50","3","4","20","10","5","5","1465","0","0"
"115","50","3","4","20","10","5","5","56","38","60"
"114","50","3","4","20","10","5","5","116","39","48"
"117","50","3","4","20","10","5","5","50","38","51"
"110","50","3","4","20","10","5","5","2163","0","0"
"119","50","3","4","20","10","5","5","74","38","56"
"120","50","3","4","20","10","5","5","43","38","54"
"116","50","3","4","20","10","5","5","1692","0","0"
"112","50","3","4","20","10","5","5","3000","1","0"
"123","50","3","4","20","10","5","5","65","38","62"
"122","50","3","4","20","10","5","5","100","38","58"
"124","50","3","4","20","10","5","5","64","38","56"
"125","50","3","4","20","10","5","5","36","38","60"
"121","50","3","4","20","10","5","5","185","38","54"
"128","50","3","4","20","10","5","5","62","39","51"
"129","50","3","4","20","10","5","5","49","38","57"
"118","50","3","4","20","10","5","5","2311","0","0"
"130","50","3","4","20","10","5","5","101","38","55"
"131","50","3","4","20","10","5","5","241","38","45"
"133","50","3","4","20","10","5","5","56","38","56"
"126","50","3","4","20","10","5","5","979","0","0"
"135","50","3","4","20","10","5","5","43","39","59"
"127","50","3","4","20","10","5","5","1353","0","0"
"136","50","3","4","20","10","5","5","1547","0","0"
"134","50","3","4","20","10","5","5","3000","1","0"
"137","50","3","4","20","10","5","5","2202","0","0"
"132","50","3","4","20","10","5","5","2403","0","0"
"139","50","3","4","20","10","5","5","162","38","50"
"140","50","3","4","20","10","5","5","145","38","61"
"142","50","3","4","20","10","5","5","61","38","61"
"141","50","3","4","20","10","5","5","115","38","53"
"144","50","3","4","20","10","5","5","81","38","56"
"146","50","3","4","20","10","5","5","102","38","54"
"145","50","3","4","20","10","5","5","155","38","53"
"138","50","3","4","20","10","5","5","2215","0","0"
"148","50","3","4","20","10","5","5","70","38","56"
"149","50","3","4","20","10","5","5","78","39","60"
"150","50","3","4","20","10","5","5","63","38","56"
"151","50","4","4","20","10","5","5","48","38","65"
"152","50","4","4","20","10","5","5","39","38","67"
"153","50","4","4","20","10","5","5","67","39","78"
"154","50","4","4","20","10","5","5","38","38","74"
"155","50","4","4","20","10","5","5","36","39","66"
"156","50","4","4","20","10","5","5","33","39","74"
"157","50","4","4","20","10","5","5","31","38","71"
"158","50","4","4","20","10","5","5","35","38","77"
"160","50","4","4","20","10","5","5","35","38","69"
"159","50","4","4","20","10","5","5","44","39","71"
"161","50","4","4","20","10","5","5","35","38","73"
"162","50","4","4","20","10","5","5","64","38","77"
"163","50","4","4","20","10","5","5","49","39","74"
"164","50","4","4","20","10","5","5","101","38","80"
"165","50","4","4","20","10","5","5","39","38","71"
"167","50","4","4","20","10","5","5","61","38","69"
"166","50","4","4","20","10","5","5","85","38","75"
"169","50","4","4","20","10","5","5","54","38","72"
"168","50","4","4","20","10","5","5","57","38","75"
"170","50","4","4","20","10","5","5","64","38","65"
"171","50","4","4","20","10","5","5","42","38","76"
"172","50","4","4","20","10","5","5","69","38","76"
"174","50","4","4","20","10","5","5","35","38","66"
"147","50","3","4","20","10","5","5","2166","0","0"
"175","50","4","4","20","10","5","5","56","38","73"
"177","50","4","4","20","10","5","5","25","38","79"
"143","50","3","4","20","10","5","5","2447","0","0"
"176","50","4","4","20","10","5","5","52","38","77"
"173","50","4","4","20","10","5","5","78","38","69"
"178","50","4","4","20","10","5","5","56","39","74"
"179","50","4","4","20","10","5","5","60","38","67"
"182","50","4","4","20","10","5","5","39","38","67"
"181","50","4","4","20","10","5","5","90","39","80"
"180","50","4","4","20","10","5","5","31","38","73"
"183","50","4","4","20","10","5","5","41","38","82"
"184","50","4","4","20","10","5","5","47","38","77"
"185","50","4","4","20","10","5","5","33","38","68"
"187","50","4","4","20","10","5","5","52","39","78"
"186","50","4","4","20","10","5","5","32","39","81"
"188","50","4","4","20","10","5","5","60","38","76"
"189","50","4","4","20","10","5","5","61","38","71"
"191","50","4","4","20","10","5","5","31","40","77"
"194","50","4","4","20","10","5","5","30","40","79"
"192","50","4","4","20","10","5","5","43","40","74"
"190","50","4","4","20","10","5","5","104","38","67"
"193","50","4","4","20","10","5","5","56","38","76"
"196","50","4","4","20","10","5","5","32","38","67"
"198","50","4","4","20","10","5","5","33","38","78"
"197","50","4","4","20","10","5","5","58","39","78"
"195","50","4","4","20","10","5","5","69","39","82"
"200","50","4","4","20","10","5","5","39","38","72"
"202","50","5","4","20","10","5","5","28","38","87"
"201","50","5","4","20","10","5","5","44","39","90"
"203","50","5","4","20","10","5","5","32","38","94"
"204","50","5","4","20","10","5","5","34","39","91"
"205","50","5","4","20","10","5","5","59","38","88"
"207","50","5","4","20","10","5","5","24","38","82"
"208","50","5","4","20","10","5","5","16","40","94"
"206","50","5","4","20","10","5","5","17","38","82"
"209","50","5","4","20","10","5","5","24","38","84"
"210","50","5","4","20","10","5","5","24","38","93"
"211","50","5","4","20","10","5","5","23","38","85"
"213","50","5","4","20","10","5","5","24","39","88"
"214","50","5","4","20","10","5","5","33","39","95"
"212","50","5","4","20","10","5","5","47","38","91"
"215","50","5","4","20","10","5","5","33","39","91"
"217","50","5","4","20","10","5","5","18","40","89"
"216","50","5","4","20","10","5","5","38","38","87"
"219","50","5","4","20","10","5","5","31","38","86"
"220","50","5","4","20","10","5","5","35","40","89"
"218","50","5","4","20","10","5","5","36","38","77"
"221","50","5","4","20","10","5","5","39","39","90"
"223","50","5","4","20","10","5","5","37","38","85"
"222","50","5","4","20","10","5","5","29","39","95"
"224","50","5","4","20","10","5","5","35","39","92"
"225","50","5","4","20","10","5","5","22","38","104"
"227","50","5","4","20","10","5","5","34","38","88"
"228","50","5","4","20","10","5","5","29","38","85"
"226","50","5","4","20","10","5","5","86","38","86"
"230","50","5","4","20","10","5","5","25","38","95"
"231","50","5","4","20","10","5","5","22","39","87"
