"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Innovation on a Network.nlogo"
"gain-resistance-chance 0 5 100"
"03/08/2024 14:58:56:748 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-nodes","initial-outbreak-size","gain-resistance-chance","virus-check-frequency","average-node-degree","virus-spread-chance","recovery-chance","[step]","count turtles with [infected?]","count links"
"1","50","4","0","10","3","5","5","77","38","56"
"5","50","4","0","10","3","5","5","67","38","60"
"3","50","4","0","10","3","5","5","146","38","63"
"6","50","4","0","10","3","5","5","74","38","62"
"8","50","4","0","10","3","5","5","100","38","57"
"7","50","4","0","10","3","5","5","152","38","55"
"10","50","4","0","10","3","5","5","36","38","51"
"9","50","4","0","10","3","5","5","108","38","62"
"12","50","4","0","10","3","5","5","59","38","57"
"4","50","4","0","10","3","5","5","141","38","59"
"11","50","4","0","10","3","5","5","137","38","58"
"14","50","4","0","10","3","5","5","141","38","61"
"2","50","4","0","10","3","5","5","3000","33","56"
"17","50","4","0","10","3","5","5","3000","34","56"
"15","50","4","0","10","3","5","5","3000","28","43"
"13","50","4","0","10","3","5","5","3000","32","50"
"20","50","4","0","10","3","5","5","67","38","59"
"19","50","4","0","10","3","5","5","100","38","62"
"21","50","4","0","10","3","5","5","70","38","60"
"22","50","4","0","10","3","5","5","77","38","64"
"24","50","4","0","10","3","5","5","55","38","62"
"25","50","4","0","10","3","5","5","231","38","61"
"26","50","4","0","10","3","5","5","137","38","62"
"27","50","4","0","10","3","5","5","148","38","66"
"28","50","4","0","10","3","5","5","97","38","51"
"29","50","4","0","10","3","5","5","110","38","57"
"16","50","4","0","10","3","5","5","3000","28","48"
"31","50","4","0","10","3","5","5","82","38","66"
"18","50","4","0","10","3","5","5","3000","35","59"
"33","50","4","0","10","3","5","5","83","38","65"
"34","50","4","0","10","3","5","5","79","38","64"
"35","50","4","0","10","3","5","5","118","38","57"
"36","50","4","0","10","3","5","5","70","38","55"
"37","50","4","0","10","3","5","5","208","38","62"
"38","50","4","0","10","3","5","5","153","39","60"
"30","50","4","0","10","3","5","5","3000","31","52"
"40","50","4","0","10","3","5","5","57","38","59"
"41","50","4","0","10","3","5","5","60","39","68"
"23","50","4","0","10","3","5","5","3000","31","44"
"43","50","4","0","10","3","5","5","50","39","57"
"42","50","4","0","10","3","5","5","81","38","58"
"44","50","4","0","10","3","5","5","86","38","57"
"45","50","4","0","10","3","5","5","62","38","58"
"32","50","4","0","10","3","5","5","3000","33","50"
"48","50","4","0","10","3","5","5","120","38","54"
"49","50","4","0","10","3","5","5","77","38","63"
"50","50","4","0","10","3","5","5","78","38","61"
"51","50","4","5","10","3","5","5","85","38","63"
"52","50","4","5","10","3","5","5","69","38","56"
"53","50","4","5","10","3","5","5","93","38","58"
"54","50","4","5","10","3","5","5","102","38","61"
"39","50","4","0","10","3","5","5","3000","32","53"
"56","50","4","5","10","3","5","5","45","38","60"
"57","50","4","5","10","3","5","5","102","38","62"
"58","50","4","5","10","3","5","5","39","39","61"
"47","50","4","0","10","3","5","5","3000","24","35"
"60","50","4","5","10","3","5","5","60","38","59"
"61","50","4","5","10","3","5","5","78","38","57"
"62","50","4","5","10","3","5","5","65","38","58"
"63","50","4","5","10","3","5","5","72","38","61"
"55","50","4","5","10","3","5","5","3000","9","11"
"65","50","4","5","10","3","5","5","73","40","62"
"66","50","4","5","10","3","5","5","57","38","57"
"46","50","4","0","10","3","5","5","3000","32","52"
"59","50","4","5","10","3","5","5","3000","11","8"
"68","50","4","5","10","3","5","5","54","38","53"
"70","50","4","5","10","3","5","5","93","40","60"
"71","50","4","5","10","3","5","5","77","39","63"
"64","50","4","5","10","3","5","5","3000","17","15"
"73","50","4","5","10","3","5","5","105","38","57"
"72","50","4","5","10","3","5","5","78","38","54"
"67","50","4","5","10","3","5","5","3000","4","3"
"76","50","4","5","10","3","5","5","86","39","57"
"77","50","4","5","10","3","5","5","85","38","64"
"69","50","4","5","10","3","5","5","3000","11","10"
"74","50","4","5","10","3","5","5","3000","7","8"
"80","50","4","5","10","3","5","5","109","38","60"
"81","50","4","5","10","3","5","5","63","38","51"
"82","50","4","5","10","3","5","5","68","38","64"
"78","50","4","5","10","3","5","5","3000","12","11"
"83","50","4","5","10","3","5","5","86","38","60"
"84","50","4","5","10","3","5","5","108","39","55"
"85","50","4","5","10","3","5","5","58","38","57"
"86","50","4","5","10","3","5","5","57","38","57"
"87","50","4","5","10","3","5","5","60","38","61"
"88","50","4","5","10","3","5","5","97","38","56"
"90","50","4","5","10","3","5","5","47","38","53"
"91","50","4","5","10","3","5","5","103","38","60"
"79","50","4","5","10","3","5","5","3000","9","7"
"75","50","4","5","10","3","5","5","3000","14","18"
"94","50","4","5","10","3","5","5","47","38","59"
"95","50","4","5","10","3","5","5","146","39","58"
"96","50","4","5","10","3","5","5","108","38","62"
"97","50","4","5","10","3","5","5","109","38","53"
"98","50","4","5","10","3","5","5","95","38","62"
"92","50","4","5","10","3","5","5","3000","8","5"
"100","50","4","5","10","3","5","5","58","38","60"
"89","50","4","5","10","3","5","5","3000","7","4"
"93","50","4","5","10","3","5","5","3000","21","21"
"103","50","4","10","10","3","5","5","105","38","50"
"104","50","4","10","10","3","5","5","201","38","59"
"105","50","4","10","10","3","5","5","48","38","56"
"99","50","4","5","10","3","5","5","3000","12","10"
"102","50","4","10","10","3","5","5","3000","9","6"
"108","50","4","10","10","3","5","5","61","39","59"
"101","50","4","10","10","3","5","5","3000","6","5"
"109","50","4","10","10","3","5","5","63","38","63"
"111","50","4","10","10","3","5","5","193","39","57"
"112","50","4","10","10","3","5","5","54","38","62"
"113","50","4","10","10","3","5","5","79","38","53"
"106","50","4","10","10","3","5","5","3000","4","2"
"115","50","4","10","10","3","5","5","95","38","55"
"116","50","4","10","10","3","5","5","156","38","56"
"117","50","4","10","10","3","5","5","161","38","57"
"118","50","4","10","10","3","5","5","76","39","58"
"107","50","4","10","10","3","5","5","2933","0","0"
"110","50","4","10","10","3","5","5","3000","4","2"
"121","50","4","10","10","3","5","5","203","38","58"
"122","50","4","10","10","3","5","5","107","38","55"
"123","50","4","10","10","3","5","5","83","38","65"
"124","50","4","10","10","3","5","5","72","38","50"
"125","50","4","10","10","3","5","5","107","38","53"
"114","50","4","10","10","3","5","5","3000","3","2"
"119","50","4","10","10","3","5","5","3000","4","4"
"128","50","4","10","10","3","5","5","135","38","52"
"120","50","4","10","10","3","5","5","3000","7","6"
