"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Innovation on a Network_modified model Virus on a Network.nlogo"
"initial-outbreak-size 1 1 50"
"03/08/2024 15:11:01:129 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-nodes","average-node-degree","initial-outbreak-size","gain-resistance-chance","virus-check-frequency","virus-spread-chance","recovery-chance","[step]","count turtles with [infected?]","count links"
"2","50","3","1","20","10","5","5","704","0","0"
"3","50","3","1","20","10","5","5","2277","0","0"
"5","50","3","1","20","10","5","5","1936","0","0"
"4","50","3","1","20","10","5","5","2605","0","0"
"6","50","3","1","20","10","5","5","1884","0","0"
"7","50","3","1","20","10","5","5","3000","2","1"
"10","50","3","1","20","10","5","5","80","38","58"
"11","50","3","1","20","10","5","5","1196","0","0"
"8","50","3","1","20","10","5","5","2934","0","0"
"12","50","3","1","20","10","5","5","300","38","54"
"9","50","3","1","20","10","5","5","2160","0","0"
"14","50","3","1","20","10","5","5","119","39","61"
"16","50","3","1","20","10","5","5","1185","0","0"
"17","50","3","1","20","10","5","5","1613","0","0"
"13","50","3","1","20","10","5","5","2396","0","0"
"15","50","3","1","20","10","5","5","3000","2","1"
"20","50","3","1","20","10","5","5","5","0","0"
"19","50","3","1","20","10","5","5","1009","0","0"
"21","50","3","1","20","10","5","5","136","38","58"
"18","50","3","1","20","10","5","5","1210","0","0"
"22","50","3","1","20","10","5","5","1003","0","0"
"23","50","3","1","20","10","5","5","1596","0","0"
"25","50","3","1","20","10","5","5","1821","0","0"
"24","50","3","1","20","10","5","5","2550","0","0"
"28","50","3","1","20","10","5","5","2","0","0"
"29","50","3","1","20","10","5","5","78","38","61"
"27","50","3","1","20","10","5","5","1191","0","0"
"26","50","3","1","20","10","5","5","3000","2","1"
"32","50","3","1","20","10","5","5","185","38","59"
"30","50","3","1","20","10","5","5","2028","0","0"
"34","50","3","1","20","10","5","5","855","0","0"
"31","50","3","1","20","10","5","5","2403","0","0"
"33","50","3","1","20","10","5","5","2456","0","0"
"36","50","3","1","20","10","5","5","502","0","0"
"38","50","3","1","20","10","5","5","198","38","59"
"39","50","3","1","20","10","5","5","79","38","58"
"37","50","3","1","20","10","5","5","1223","0","0"
"41","50","3","1","20","10","5","5","1391","0","0"
"35","50","3","1","20","10","5","5","3000","3","3"
"43","50","3","1","20","10","5","5","93","38","59"
"40","50","3","1","20","10","5","5","2698","0","0"
"42","50","3","1","20","10","5","5","1989","0","0"
"1","50","3","1","20","10","5","5","2149","0","0"
"45","50","3","1","20","10","5","5","1577","0","0"
"44","50","3","1","20","10","5","5","1921","0","0"
"46","50","3","1","20","10","5","5","1471","0","0"
"47","50","3","1","20","10","5","5","1864","0","0"
"49","50","3","1","20","10","5","5","1630","0","0"
"48","50","3","1","20","10","5","5","2135","0","0"
"52","50","3","2","20","10","5","5","134","38","51"
"53","50","3","2","20","10","5","5","131","38","60"
"54","50","3","2","20","10","5","5","130","38","53"
"51","50","3","2","20","10","5","5","1642","0","0"
"50","50","3","1","20","10","5","5","1514","0","0"
"58","50","3","2","20","10","5","5","128","38","57"
"59","50","3","2","20","10","5","5","86","38","59"
"57","50","3","2","20","10","5","5","941","0","0"
"60","50","3","2","20","10","5","5","101","38","58"
"61","50","3","2","20","10","5","5","217","38","49"
"62","50","3","2","20","10","5","5","108","38","61"
"64","50","3","2","20","10","5","5","117","38","52"
"55","50","3","2","20","10","5","5","2036","0","0"
"56","50","3","2","20","10","5","5","2316","0","0"
"65","50","3","2","20","10","5","5","1731","0","0"
"67","50","3","2","20","10","5","5","2373","0","0"
"69","50","3","2","20","10","5","5","144","38","64"
"66","50","3","2","20","10","5","5","2766","0","0"
"70","50","3","2","20","10","5","5","122","38","52"
"63","50","3","2","20","10","5","5","3000","1","0"
"73","50","3","2","20","10","5","5","139","38","51"
"68","50","3","2","20","10","5","5","2686","0","0"
"75","50","3","2","20","10","5","5","147","38","54"
"71","50","3","2","20","10","5","5","2197","0","0"
"72","50","3","2","20","10","5","5","2184","0","0"
"74","50","3","2","20","10","5","5","2094","0","0"
"77","50","3","2","20","10","5","5","1327","0","0"
"76","50","3","2","20","10","5","5","2319","0","0"
"81","50","3","2","20","10","5","5","77","38","63"
"78","50","3","2","20","10","5","5","3000","3","3"
"80","50","3","2","20","10","5","5","1960","0","0"
"79","50","3","2","20","10","5","5","2679","0","0"
"82","50","3","2","20","10","5","5","2024","0","0"
"84","50","3","2","20","10","5","5","1749","0","0"
"83","50","3","2","20","10","5","5","1871","0","0"
"87","50","3","2","20","10","5","5","177","38","52"
"86","50","3","2","20","10","5","5","2234","0","0"
"90","50","3","2","20","10","5","5","72","38","54"
"91","50","3","2","20","10","5","5","118","38","59"
"89","50","3","2","20","10","5","5","2018","0","0"
"88","50","3","2","20","10","5","5","3000","2","1"
"94","50","3","2","20","10","5","5","104","38","52"
"85","50","3","2","20","10","5","5","2268","0","0"
"95","50","3","2","20","10","5","5","66","39","63"
"97","50","3","2","20","10","5","5","158","38","46"
"98","50","3","2","20","10","5","5","88","38","50"
"96","50","3","2","20","10","5","5","125","38","55"
"100","50","3","2","20","10","5","5","117","39","62"
"101","50","3","3","20","10","5","5","45","38","55"
"99","50","3","2","20","10","5","5","83","38","58"
"92","50","3","2","20","10","5","5","2063","0","0"
"104","50","3","3","20","10","5","5","42","38","57"
"93","50","3","2","20","10","5","5","2678","0","0"
"105","50","3","3","20","10","5","5","1552","0","0"
"107","50","3","3","20","10","5","5","104","38","60"
"102","50","3","3","20","10","5","5","1932","0","0"
"103","50","3","3","20","10","5","5","2573","0","0"
"110","50","3","3","20","10","5","5","53","38","56"
"106","50","3","3","20","10","5","5","2110","0","0"
"111","50","3","3","20","10","5","5","1930","0","0"
"112","50","3","3","20","10","5","5","1973","0","0"
"108","50","3","3","20","10","5","5","2888","0","0"
"109","50","3","3","20","10","5","5","2579","0","0"
"115","50","3","3","20","10","5","5","175","38","59"
"116","50","3","3","20","10","5","5","103","38","57"
"118","50","3","3","20","10","5","5","133","38","53"
"119","50","3","3","20","10","5","5","87","38","60"
"113","50","3","3","20","10","5","5","1489","0","0"
"117","50","3","3","20","10","5","5","1464","0","0"
"121","50","3","3","20","10","5","5","1254","0","0"
"123","50","3","3","20","10","5","5","71","38","60"
"114","50","3","3","20","10","5","5","3000","2","1"
"124","50","3","3","20","10","5","5","1545","0","0"
"122","50","3","3","20","10","5","5","2102","0","0"
"127","50","3","3","20","10","5","5","193","38","52"
"125","50","3","3","20","10","5","5","1908","0","0"
"120","50","3","3","20","10","5","5","3000","4","2"
"129","50","3","3","20","10","5","5","106","38","55"
"130","50","3","3","20","10","5","5","98","38","57"
"131","50","3","3","20","10","5","5","129","38","50"
"128","50","3","3","20","10","5","5","1966","0","0"
"126","50","3","3","20","10","5","5","3000","2","1"
"133","50","3","3","20","10","5","5","1885","0","0"
"132","50","3","3","20","10","5","5","2172","0","0"
"137","50","3","3","20","10","5","5","69","38","57"
"134","50","3","3","20","10","5","5","1988","0","0"
"136","50","3","3","20","10","5","5","1566","0","0"
"135","50","3","3","20","10","5","5","3000","2","1"
"139","50","3","3","20","10","5","5","2728","0","0"
"142","50","3","3","20","10","5","5","278","39","56"
"140","50","3","3","20","10","5","5","2609","0","0"
"138","50","3","3","20","10","5","5","2154","0","0"
"144","50","3","3","20","10","5","5","146","39","56"
"141","50","3","3","20","10","5","5","2292","0","0"
"147","50","3","3","20","10","5","5","189","39","49"
"143","50","3","3","20","10","5","5","3000","1","0"
"148","50","3","3","20","10","5","5","1941","0","0"
"149","50","3","3","20","10","5","5","108","39","62"
"145","50","3","3","20","10","5","5","1801","0","0"
"152","50","3","4","20","10","5","5","159","38","52"
"153","50","3","4","20","10","5","5","99","38","56"
"146","50","3","3","20","10","5","5","2609","0","0"
"155","50","3","4","20","10","5","5","64","38","52"
"154","50","3","4","20","10","5","5","80","38","58"
"156","50","3","4","20","10","5","5","67","38","50"
"157","50","3","4","20","10","5","5","107","38","55"
"158","50","3","4","20","10","5","5","144","38","54"
"160","50","3","4","20","10","5","5","59","38","50"
"150","50","3","3","20","10","5","5","2109","0","0"
"162","50","3","4","20","10","5","5","56","38","57"
"163","50","3","4","20","10","5","5","110","38","53"
"151","50","3","4","20","10","5","5","1683","0","0"
"161","50","3","4","20","10","5","5","1939","0","0"
"165","50","3","4","20","10","5","5","2097","0","0"
"167","50","3","4","20","10","5","5","94","38","50"
"159","50","3","4","20","10","5","5","2947","0","0"
"164","50","3","4","20","10","5","5","1907","0","0"
"170","50","3","4","20","10","5","5","55","38","56"
"169","50","3","4","20","10","5","5","65","38","53"
"172","50","3","4","20","10","5","5","80","40","58"
"173","50","3","4","20","10","5","5","44","40","57"
"168","50","3","4","20","10","5","5","1440","0","0"
"175","50","3","4","20","10","5","5","254","38","45"
"166","50","3","4","20","10","5","5","2310","0","0"
"176","50","3","4","20","10","5","5","67","38","57"
"171","50","3","4","20","10","5","5","1765","0","0"
"174","50","3","4","20","10","5","5","2423","0","0"
"180","50","3","4","20","10","5","5","96","39","61"
"181","50","3","4","20","10","5","5","109","40","65"
"182","50","3","4","20","10","5","5","86","38","49"
"179","50","3","4","20","10","5","5","1405","0","0"
"183","50","3","4","20","10","5","5","64","38","58"
"185","50","3","4","20","10","5","5","125","38","54"
"178","50","3","4","20","10","5","5","2210","0","0"
"186","50","3","4","20","10","5","5","100","38","54"
"177","50","3","4","20","10","5","5","2302","0","0"
"189","50","3","4","20","10","5","5","42","38","61"
"190","50","3","4","20","10","5","5","81","38","50"
"191","50","3","4","20","10","5","5","179","38","57"
"192","50","3","4","20","10","5","5","60","39","60"
"193","50","3","4","20","10","5","5","81","38","51"
"194","50","3","4","20","10","5","5","112","38","62"
"187","50","3","4","20","10","5","5","1551","0","0"
"188","50","3","4","20","10","5","5","1514","0","0"
"184","50","3","4","20","10","5","5","2491","0","0"
"196","50","3","4","20","10","5","5","1534","0","0"
"198","50","3","4","20","10","5","5","1684","0","0"
"200","50","3","4","20","10","5","5","49","39","57"
"195","50","3","4","20","10","5","5","2392","0","0"
"202","50","3","5","20","10","5","5","65","38","60"
"203","50","3","5","20","10","5","5","42","38","55"
"204","50","3","5","20","10","5","5","135","38","51"
"201","50","3","5","20","10","5","5","156","38","56"
"206","50","3","5","20","10","5","5","103","38","60"
"207","50","3","5","20","10","5","5","61","38","52"
"199","50","3","4","20","10","5","5","1762","0","0"
"209","50","3","5","20","10","5","5","64","38","59"
