"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Innovation on a Network.nlogo"
"number-of-nodes 5 5 300"
"03/08/2024 14:39:57:543 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-nodes","average-node-degree","initial-outbreak-size","gain-resistance-chance","virus-check-frequency","virus-spread-chance","recovery-chance","[step]","count turtles with [infected?]","count links"
"1","5","3","4","20","10","5","5","0","4","4"
"2","5","3","4","20","10","5","5","0","4","5"
"3","5","3","4","20","10","5","5","0","4","5"
"4","5","3","4","20","10","5","5","0","4","5"
"7","5","3","4","20","10","5","5","0","4","4"
"9","5","3","4","20","10","5","5","0","4","5"
"8","5","3","4","20","10","5","5","0","4","4"
"10","5","3","4","20","10","5","5","0","4","4"
"11","5","3","4","20","10","5","5","0","4","4"
"12","5","3","4","20","10","5","5","0","4","4"
"13","5","3","4","20","10","5","5","0","4","5"
"15","5","3","4","20","10","5","5","0","4","5"
"14","5","3","4","20","10","5","5","0","4","4"
"16","5","3","4","20","10","5","5","0","4","4"
"18","5","3","4","20","10","5","5","0","4","6"
"19","5","3","4","20","10","5","5","0","4","5"
"17","5","3","4","20","10","5","5","0","4","4"
"20","5","3","4","20","10","5","5","0","4","6"
"6","5","3","4","20","10","5","5","0","4","5"
"21","5","3","4","20","10","5","5","0","4","5"
"23","5","3","4","20","10","5","5","0","4","4"
"22","5","3","4","20","10","5","5","0","4","4"
"25","5","3","4","20","10","5","5","0","4","5"
"27","5","3","4","20","10","5","5","0","4","5"
"24","5","3","4","20","10","5","5","0","4","6"
"29","5","3","4","20","10","5","5","0","4","4"
"26","5","3","4","20","10","5","5","0","4","6"
"31","5","3","4","20","10","5","5","0","4","6"
"32","5","3","4","20","10","5","5","0","4","5"
"28","5","3","4","20","10","5","5","0","4","5"
"30","5","3","4","20","10","5","5","0","4","4"
"33","5","3","4","20","10","5","5","0","4","5"
"34","5","3","4","20","10","5","5","0","4","5"
"36","5","3","4","20","10","5","5","0","4","4"
"35","5","3","4","20","10","5","5","0","4","4"
"38","5","3","4","20","10","5","5","0","4","4"
"37","5","3","4","20","10","5","5","0","4","5"
"40","5","3","4","20","10","5","5","0","4","5"
"42","5","3","4","20","10","5","5","0","4","5"
"41","5","3","4","20","10","5","5","0","4","6"
"43","5","3","4","20","10","5","5","0","4","5"
"39","5","3","4","20","10","5","5","0","4","6"
"44","5","3","4","20","10","5","5","0","4","5"
"45","5","3","4","20","10","5","5","0","4","5"
"48","5","3","4","20","10","5","5","0","4","5"
"47","5","3","4","20","10","5","5","0","4","6"
"46","5","3","4","20","10","5","5","0","4","5"
"50","5","3","4","20","10","5","5","0","4","5"
"49","5","3","4","20","10","5","5","0","4","4"
"51","10","3","4","20","10","5","5","14","8","12"
"52","10","3","4","20","10","5","5","11","8","12"
"5","5","3","4","20","10","5","5","0","4","5"
"53","10","3","4","20","10","5","5","15","8","10"
"54","10","3","4","20","10","5","5","9","8","11"
"56","10","3","4","20","10","5","5","4","8","11"
"57","10","3","4","20","10","5","5","4","8","10"
"55","10","3","4","20","10","5","5","18","8","11"
"58","10","3","4","20","10","5","5","15","8","12"
"60","10","3","4","20","10","5","5","19","8","11"
"59","10","3","4","20","10","5","5","19","9","13"
"63","10","3","4","20","10","5","5","10","8","13"
"61","10","3","4","20","10","5","5","26","8","11"
"65","10","3","4","20","10","5","5","4","8","12"
"66","10","3","4","20","10","5","5","5","8","11"
"64","10","3","4","20","10","5","5","26","8","13"
"67","10","3","4","20","10","5","5","8","8","13"
"69","10","3","4","20","10","5","5","8","8","11"
"68","10","3","4","20","10","5","5","6","8","12"
"70","10","3","4","20","10","5","5","3","8","9"
"62","10","3","4","20","10","5","5","17","8","12"
"73","10","3","4","20","10","5","5","14","8","11"
"75","10","3","4","20","10","5","5","8","8","8"
"76","10","3","4","20","10","5","5","3","8","9"
"74","10","3","4","20","10","5","5","14","8","14"
"71","10","3","4","20","10","5","5","8","8","10"
"72","10","3","4","20","10","5","5","23","8","11"
"77","10","3","4","20","10","5","5","6","8","9"
"80","10","3","4","20","10","5","5","5","8","12"
"78","10","3","4","20","10","5","5","19","8","10"
"81","10","3","4","20","10","5","5","7","8","9"
"79","10","3","4","20","10","5","5","29","8","12"
"83","10","3","4","20","10","5","5","15","8","14"
"84","10","3","4","20","10","5","5","7","8","7"
"82","10","3","4","20","10","5","5","21","8","13"
"86","10","3","4","20","10","5","5","4","8","9"
"85","10","3","4","20","10","5","5","17","8","10"
"88","10","3","4","20","10","5","5","14","8","11"
"87","10","3","4","20","10","5","5","24","9","12"
"89","10","3","4","20","10","5","5","12","8","10"
"90","10","3","4","20","10","5","5","10","8","9"
"91","10","3","4","20","10","5","5","9","8","10"
"92","10","3","4","20","10","5","5","13","8","6"
"95","10","3","4","20","10","5","5","6","9","10"
"94","10","3","4","20","10","5","5","21","8","10"
"93","10","3","4","20","10","5","5","25","8","9"
"96","10","3","4","20","10","5","5","16","8","12"
"98","10","3","4","20","10","5","5","12","8","9"
"97","10","3","4","20","10","5","5","9","8","10"
"100","10","3","4","20","10","5","5","18","8","9"
"99","10","3","4","20","10","5","5","17","8","12"
"101","15","3","4","20","10","5","5","20","12","19"
"103","15","3","4","20","10","5","5","15","12","18"
"102","15","3","4","20","10","5","5","36","12","15"
"105","15","3","4","20","10","5","5","16","12","16"
"107","15","3","4","20","10","5","5","13","12","15"
"108","15","3","4","20","10","5","5","21","12","17"
"106","15","3","4","20","10","5","5","29","12","17"
"109","15","3","4","20","10","5","5","24","12","16"
"112","15","3","4","20","10","5","5","13","12","15"
"104","15","3","4","20","10","5","5","24","12","18"
"111","15","3","4","20","10","5","5","32","12","17"
"113","15","3","4","20","10","5","5","18","13","19"
"115","15","3","4","20","10","5","5","27","12","17"
"116","15","3","4","20","10","5","5","20","12","17"
"117","15","3","4","20","10","5","5","41","12","15"
"110","15","3","4","20","10","5","5","23","12","20"
"119","15","3","4","20","10","5","5","13","12","14"
"120","15","3","4","20","10","5","5","37","12","17"
"118","15","3","4","20","10","5","5","16","12","17"
"122","15","3","4","20","10","5","5","25","12","18"
"123","15","3","4","20","10","5","5","19","12","17"
"124","15","3","4","20","10","5","5","23","12","16"
"126","15","3","4","20","10","5","5","87","12","19"
"127","15","3","4","20","10","5","5","38","12","20"
"128","15","3","4","20","10","5","5","15","12","16"
"129","15","3","4","20","10","5","5","20","12","17"
"130","15","3","4","20","10","5","5","17","12","17"
"131","15","3","4","20","10","5","5","106","12","18"
"121","15","3","4","20","10","5","5","23","13","19"
"132","15","3","4","20","10","5","5","55","12","21"
"134","15","3","4","20","10","5","5","12","12","17"
"135","15","3","4","20","10","5","5","7","12","15"
"133","15","3","4","20","10","5","5","19","12","16"
"136","15","3","4","20","10","5","5","19","12","18"
"138","15","3","4","20","10","5","5","39","13","18"
"139","15","3","4","20","10","5","5","16","12","19"
"140","15","3","4","20","10","5","5","12","12","17"
"141","15","3","4","20","10","5","5","13","12","18"
"142","15","3","4","20","10","5","5","19","12","17"
"137","15","3","4","20","10","5","5","30","12","17"
