"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Innovation on a Network.nlogo"
"recovery-chance 0 1 10"
"03/08/2024 14:58:03:669 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-nodes","initial-outbreak-size","gain-resistance-chance","virus-check-frequency","average-node-degree","virus-spread-chance","recovery-chance","[step]","count turtles with [infected?]","count links"
"2","50","4","20","10","3","5","0","57","38","59"
"3","50","4","20","10","3","5","0","141","38","55"
"1","50","4","20","10","3","5","0","76","38","61"
"4","50","4","20","10","3","5","0","99","38","56"
"7","50","4","20","10","3","5","0","70","38","65"
"6","50","4","20","10","3","5","0","65","38","60"
"5","50","4","20","10","3","5","0","53","38","62"
"10","50","4","20","10","3","5","0","73","40","57"
"8","50","4","20","10","3","5","0","95","38","57"
"12","50","4","20","10","3","5","0","81","38","60"
"14","50","4","20","10","3","5","0","51","38","59"
"13","50","4","20","10","3","5","0","105","38","61"
"15","50","4","20","10","3","5","0","36","38","58"
"16","50","4","20","10","3","5","0","61","38","58"
"9","50","4","20","10","3","5","0","55","38","62"
"19","50","4","20","10","3","5","0","45","38","61"
"18","50","4","20","10","3","5","0","51","38","58"
"21","50","4","20","10","3","5","0","59","38","61"
"20","50","4","20","10","3","5","0","127","38","60"
"22","50","4","20","10","3","5","0","50","39","60"
"24","50","4","20","10","3","5","0","78","38","52"
"17","50","4","20","10","3","5","0","176","39","64"
"26","50","4","20","10","3","5","0","114","38","58"
"27","50","4","20","10","3","5","0","100","39","64"
"23","50","4","20","10","3","5","0","89","38","54"
"28","50","4","20","10","3","5","0","74","38","58"
"30","50","4","20","10","3","5","0","84","38","63"
"31","50","4","20","10","3","5","0","60","38","58"
"32","50","4","20","10","3","5","0","57","38","59"
"33","50","4","20","10","3","5","0","55","38","56"
"34","50","4","20","10","3","5","0","78","38","64"
"29","50","4","20","10","3","5","0","46","38","57"
"36","50","4","20","10","3","5","0","164","38","58"
"37","50","4","20","10","3","5","0","40","38","62"
"35","50","4","20","10","3","5","0","138","38","58"
"39","50","4","20","10","3","5","0","56","39","61"
"38","50","4","20","10","3","5","0","58","38","57"
"41","50","4","20","10","3","5","0","93","38","62"
"42","50","4","20","10","3","5","0","49","38","61"
"43","50","4","20","10","3","5","0","63","38","63"
"44","50","4","20","10","3","5","0","93","40","62"
"45","50","4","20","10","3","5","0","126","38","58"
"25","50","4","20","10","3","5","0","3000","25","41"
"47","50","4","20","10","3","5","0","55","38","59"
"11","50","4","20","10","3","5","0","3000","32","51"
"49","50","4","20","10","3","5","0","66","38","55"
"50","50","4","20","10","3","5","0","88","38","57"
"51","50","4","20","10","3","5","1","99","38","53"
"52","50","4","20","10","3","5","1","35","38","65"
"53","50","4","20","10","3","5","1","57","38","59"
"40","50","4","20","10","3","5","0","3000","32","56"
"55","50","4","20","10","3","5","1","153","38","59"
"56","50","4","20","10","3","5","1","68","38","58"
"54","50","4","20","10","3","5","1","121","38","58"
"58","50","4","20","10","3","5","1","54","38","67"
"59","50","4","20","10","3","5","1","50","38","51"
"48","50","4","20","10","3","5","0","3000","28","49"
