"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Innovation on a Network.nlogo"
"virus-check-frequency 0-20"
"03/08/2024 14:57:08:846 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-nodes","initial-outbreak-size","gain-resistance-chance","virus-check-frequency","average-node-degree","virus-spread-chance","recovery-chance","[step]","count turtles with [infected?]","count links"
"2","50","4","20","0","3","5","5","111","0","0"
"1","50","4","20","0","3","5","5","140","0","0"
"5","50","4","20","0","3","5","5","68","0","0"
"6","50","4","20","0","3","5","5","117","0","0"
"4","50","4","20","0","3","5","5","263","0","0"
"8","50","4","20","0","3","5","5","189","0","0"
"3","50","4","20","0","3","5","5","263","0","0"
"10","50","4","20","0","3","5","5","5","0","0"
"9","50","4","20","0","3","5","5","356","0","0"
"7","50","4","20","0","3","5","5","206","0","0"
"12","50","4","20","0","3","5","5","232","0","0"
"11","50","4","20","0","3","5","5","269","0","0"
"13","50","4","20","0","3","5","5","267","0","0"
"16","50","4","20","0","3","5","5","78","0","0"
"17","50","4","20","0","3","5","5","57","0","0"
"19","50","4","20","0","3","5","5","341","0","0"
"15","50","4","20","0","3","5","5","166","0","0"
"18","50","4","20","0","3","5","5","299","0","0"
"20","50","4","20","0","3","5","5","276","0","0"
"14","50","4","20","0","3","5","5","306","0","0"
"23","50","4","20","0","3","5","5","133","0","0"
"22","50","4","20","0","3","5","5","179","0","0"
"21","50","4","20","0","3","5","5","247","0","0"
"25","50","4","20","0","3","5","5","200","0","0"
"28","50","4","20","0","3","5","5","20","0","0"
"24","50","4","20","0","3","5","5","178","0","0"
"29","50","4","20","0","3","5","5","128","0","0"
"27","50","4","20","0","3","5","5","176","0","0"
"31","50","4","20","0","3","5","5","116","0","0"
"26","50","4","20","0","3","5","5","157","0","0"
"33","50","4","20","0","3","5","5","109","0","0"
"32","50","4","20","0","3","5","5","222","0","0"
"35","50","4","20","0","3","5","5","241","0","0"
"34","50","4","20","0","3","5","5","265","0","0"
"37","50","4","20","0","3","5","5","166","0","0"
"38","50","4","20","0","3","5","5","92","0","0"
"39","50","4","20","0","3","5","5","152","0","0"
"30","50","4","20","0","3","5","5","237","0","0"
"42","50","4","20","0","3","5","5","48","0","0"
"40","50","4","20","0","3","5","5","127","0","0"
"41","50","4","20","0","3","5","5","288","0","0"
"36","50","4","20","0","3","5","5","186","0","0"
"45","50","4","20","0","3","5","5","261","0","0"
"46","50","4","20","0","3","5","5","135","0","0"
"44","50","4","20","0","3","5","5","249","0","0"
"43","50","4","20","0","3","5","5","209","0","0"
"47","50","4","20","0","3","5","5","530","0","0"
"49","50","4","20","0","3","5","5","198","0","0"
"52","50","4","20","1","3","5","5","63","0","0"
"51","50","4","20","1","3","5","5","281","0","0"
"53","50","4","20","1","3","5","5","27","0","0"
"54","50","4","20","1","3","5","5","167","0","0"
"48","50","4","20","0","3","5","5","303","0","0"
"56","50","4","20","1","3","5","5","367","0","0"
"50","50","4","20","0","3","5","5","348","0","0"
"58","50","4","20","1","3","5","5","79","0","0"
"55","50","4","20","1","3","5","5","297","0","0"
"57","50","4","20","1","3","5","5","313","0","0"
"61","50","4","20","1","3","5","5","90","0","0"
"60","50","4","20","1","3","5","5","192","0","0"
"63","50","4","20","1","3","5","5","129","0","0"
"64","50","4","20","1","3","5","5","112","0","0"
"59","50","4","20","1","3","5","5","257","0","0"
"65","50","4","20","1","3","5","5","143","0","0"
"66","50","4","20","1","3","5","5","246","0","0"
"62","50","4","20","1","3","5","5","107","0","0"
"68","50","4","20","1","3","5","5","135","0","0"
"67","50","4","20","1","3","5","5","260","0","0"
"71","50","4","20","1","3","5","5","222","0","0"
"72","50","4","20","1","3","5","5","223","0","0"
"73","50","4","20","1","3","5","5","225","0","0"
"75","50","4","20","1","3","5","5","178","0","0"
"70","50","4","20","1","3","5","5","64","0","0"
"69","50","4","20","1","3","5","5","171","0","0"
"77","50","4","20","1","3","5","5","251","0","0"
"78","50","4","20","1","3","5","5","215","0","0"
"74","50","4","20","1","3","5","5","230","0","0"
"76","50","4","20","1","3","5","5","143","0","0"
"80","50","4","20","1","3","5","5","307","0","0"
"81","50","4","20","1","3","5","5","251","0","0"
