"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Innovation on a Network.nlogo"
"virus-spread-chance 0-10"
"03/08/2024 14:56:18:136 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-nodes","initial-outbreak-size","gain-resistance-chance","virus-check-frequency","average-node-degree","virus-spread-chance","recovery-chance","[step]","count turtles with [infected?]","count links"
"2","50","4","20","10","3","0","5","212","0","0"
"1","50","4","20","10","3","0","5","259","0","0"
"3","50","4","20","10","3","0","5","187","0","0"
"6","50","4","20","10","3","0","5","316","0","0"
"5","50","4","20","10","3","0","5","326","0","0"
"4","50","4","20","10","3","0","5","139","0","0"
"8","50","4","20","10","3","0","5","320","0","0"
"9","50","4","20","10","3","0","5","171","0","0"
"7","50","4","20","10","3","0","5","236","0","0"
"11","50","4","20","10","3","0","5","344","0","0"
"13","50","4","20","10","3","0","5","223","0","0"
"12","50","4","20","10","3","0","5","281","0","0"
"16","50","4","20","10","3","0","5","164","0","0"
"14","50","4","20","10","3","0","5","879","0","0"
"15","50","4","20","10","3","0","5","618","0","0"
"17","50","4","20","10","3","0","5","561","0","0"
"10","50","4","20","10","3","0","5","1124","0","0"
"21","50","4","20","10","3","0","5","197","0","0"
"18","50","4","20","10","3","0","5","165","0","0"
"23","50","4","20","10","3","0","5","286","0","0"
"19","50","4","20","10","3","0","5","1150","0","0"
"20","50","4","20","10","3","0","5","383","0","0"
"22","50","4","20","10","3","0","5","135","0","0"
"26","50","4","20","10","3","0","5","610","0","0"
"24","50","4","20","10","3","0","5","551","0","0"
"25","50","4","20","10","3","0","5","343","0","0"
"28","50","4","20","10","3","0","5","345","0","0"
"31","50","4","20","10","3","0","5","445","0","0"
"32","50","4","20","10","3","0","5","180","0","0"
"30","50","4","20","10","3","0","5","597","0","0"
"29","50","4","20","10","3","0","5","705","0","0"
"34","50","4","20","10","3","0","5","519","0","0"
"36","50","4","20","10","3","0","5","184","0","0"
"27","50","4","20","10","3","0","5","820","0","0"
"35","50","4","20","10","3","0","5","538","0","0"
"37","50","4","20","10","3","0","5","157","0","0"
"33","50","4","20","10","3","0","5","647","0","0"
"38","50","4","20","10","3","0","5","395","0","0"
"41","50","4","20","10","3","0","5","515","0","0"
"39","50","4","20","10","3","0","5","454","0","0"
"42","50","4","20","10","3","0","5","101","0","0"
"44","50","4","20","10","3","0","5","387","0","0"
"46","50","4","20","10","3","0","5","455","0","0"
"45","50","4","20","10","3","0","5","538","0","0"
"43","50","4","20","10","3","0","5","150","0","0"
"49","50","4","20","10","3","0","5","448","0","0"
"40","50","4","20","10","3","0","5","214","0","0"
"50","50","4","20","10","3","0","5","258","0","0"
"48","50","4","20","10","3","0","5","242","0","0"
"47","50","4","20","10","3","0","5","355","0","0"
"52","50","4","20","10","3","1","5","1263","0","0"
"53","50","4","20","10","3","1","5","1743","0","0"
"54","50","4","20","10","3","1","5","1756","0","0"
"55","50","4","20","10","3","1","5","1919","0","0"
"51","50","4","20","10","3","1","5","1551","0","0"
"56","50","4","20","10","3","1","5","2063","0","0"
"57","50","4","20","10","3","1","5","3000","3","2"
"59","50","4","20","10","3","1","5","2108","0","0"
"58","50","4","20","10","3","1","5","2590","0","0"
"60","50","4","20","10","3","1","5","1645","0","0"
"61","50","4","20","10","3","1","5","1959","0","0"
"62","50","4","20","10","3","1","5","2244","0","0"
"64","50","4","20","10","3","1","5","2055","0","0"
"63","50","4","20","10","3","1","5","2578","0","0"
"65","50","4","20","10","3","1","5","2219","0","0"
"67","50","4","20","10","3","1","5","1311","0","0"
"66","50","4","20","10","3","1","5","1331","0","0"
"70","50","4","20","10","3","1","5","1744","0","0"
"68","50","4","20","10","3","1","5","3000","3","2"
"69","50","4","20","10","3","1","5","2914","0","0"
"71","50","4","20","10","3","1","5","1867","0","0"
"73","50","4","20","10","3","1","5","2203","0","0"
"72","50","4","20","10","3","1","5","2269","0","0"
"76","50","4","20","10","3","1","5","1102","0","0"
"74","50","4","20","10","3","1","5","1855","0","0"
"75","50","4","20","10","3","1","5","1543","0","0"
"77","50","4","20","10","3","1","5","2547","0","0"
"78","50","4","20","10","3","1","5","2192","0","0"
"79","50","4","20","10","3","1","5","2017","0","0"
"81","50","4","20","10","3","1","5","1653","0","0"
"82","50","4","20","10","3","1","5","2018","0","0"
"83","50","4","20","10","3","1","5","1793","0","0"
"80","50","4","20","10","3","1","5","2867","0","0"
"84","50","4","20","10","3","1","5","2003","0","0"
"85","50","4","20","10","3","1","5","2124","0","0"
"88","50","4","20","10","3","1","5","1434","0","0"
"86","50","4","20","10","3","1","5","2863","0","0"
"89","50","4","20","10","3","1","5","2010","0","0"
"87","50","4","20","10","3","1","5","2548","0","0"
"91","50","4","20","10","3","1","5","2281","0","0"
"90","50","4","20","10","3","1","5","3000","1","0"
"93","50","4","20","10","3","1","5","1986","0","0"
"92","50","4","20","10","3","1","5","3000","1","0"
"95","50","4","20","10","3","1","5","2075","0","0"
"94","50","4","20","10","3","1","5","2816","0","0"
"98","50","4","20","10","3","1","5","1877","0","0"
"96","50","4","20","10","3","1","5","1729","0","0"
"97","50","4","20","10","3","1","5","2418","0","0"
"102","50","4","20","10","3","2","5","268","38","46"
"101","50","4","20","10","3","2","5","155","38","56"
"99","50","4","20","10","3","1","5","2550","0","0"
"103","50","4","20","10","3","2","5","502","0","0"
